season,player,seed,placement
1,silverr,1,1
1,doogile,15,2
1,dandannyboy,6,3
1,oxidot,4,4
1,reignex,8,5
1,moleyg,12,5
1,cropro,14,5
1,ancoboy,10,5
1,automattpl,16,6
1,pulsar,9,6
1,priffin,5,6
1,ranik,13,6
1,orachi,3,6
1,dylqn,11,6
1,lowkey,7,6
1,7rowl,2,6
2,lowkey,1,1
2,silverr,3,2
2,ancoboy,7,3
2,kw1st,12,4
2,doogile,9,5
2,dwoh,13,5
2,bigbigmongey,6,5
2,automattpl,15,5
2,cropro,16,6
2,dandannyboy,8,6
2,7rowl,5,6
2,priffin,4,6
2,emil,14,6
2,draconix,11,6
2,ranik,10,6
2,oxidot,2,6
3,priffin,5,1
3,hackingnoises,6,2
3,beefsalad,10,3
3,7rowl,1,4
3,dandannyboy,8,5
3,doogile,4,5
3,lowkey,3,5
3,oxidot,2,5
3,bloonskiller,16,6
3,automattpl,9,6
3,paplerr,12,6
3,anjouu,13,6
3,waluyoshi,14,6
3,vstrid,11,6
3,ancoboy,7,6
3,loodlow,15,6
4,lowkey,2,1
4,ancoboy,8,2
4,hackingnoises,12,3
4,vstrid,14,4
4,priffin,4,5
4,bigbigmongey,16,5
4,dandannyboy,10,5
4,automattpl,6,5
4,paplerr,11,6
4,cube,13,6
4,hinart,9,6
4,anjouu,15,6
4,7rowl,3,6
4,oxidot,7,6
4,silverr,5,6
4,doogile,1,6
5,doogile,1,1
5,hackingnoises,3,2
5,7rowl,8,3
5,ancoboy,4,4
5,lowkey,2,5
5,automattpl,6,5
5,beefsalad,7,5
5,silverr,9,5
5,oxidot,12,6
5,bigbigmongey,5,6
5,tudorule,11,6
5,vstrid,10,6
5,kenan,15,7
5,pulsar,16,7
5,dandannyboy,13,7
5,aquacorde,14,7
6,lowkey,2,1
6,doogile,1,2
6,hackingnoises,3,3
6,bigbigmongey,4,4
6,oxidot,6,5
6,feinberg,9,5
6,erik,14,5
6,beefsalad,7,5
6,7rowl,5,6
6,tudorule,13,6
6,silverr,8,6
6,dandannyboy,15,6
6,automattpl,12,7
6,mrbudgie,11,7
6,shimon,16,7
6,venfy,10,7
7,doogile,8,1
7,lowkey,2,2
7,hackingnoises,14,3
7,crimson,15,4
7,ancoboy,6,5
7,retropog,9,5
7,silverr,13,5
7,jay,10,5
7,oxidot,16,6
7,7rowl,7,6
7,beefsalad,5,6
7,priffin,11,6
7,aquacorde,12,6
7,bigbigmongey,4,6
7,feinberg,3,6
7,infume,1,6
8,hackingnoises,16,1
8,infume,2,2
8,bigbigmongey,6,3
8,aquacorde,9,4
8,vstrid,14,5
8,doogile,3,5
8,lowkey,7,5
8,darvy,12,5
8,beefsalad,10,6
8,ranik,8,6
8,kenan,13,6
8,7rowl,4,6
8,tudorule,15,6
8,silverr,5,6
8,feinberg,11,6
8,edcr,1,6
9,hackingnoises,12,1
9,doogile,3,2
9,skycrab,16,3
9,infume,2,4
9,steez,15,5
9,blazemind,10,5
9,aquacorde,4,5
9,lowkey,11,5
9,bigbigmongey,6,6
9,silverr,5,6
9,nhb,13,6
9,feinberg,8,6
9,hdmicables,14,6
9,beefsalad,9,6
9,nahan,7,6
9,edcr,1,6
10,infume,1,#N/A
10,edcr,2,#N/A
10,feinberg,3,#N/A
10,doogile,4,#N/A
10,blazemind,5,#N/A
10,7rowl,6,#N/A
10,beefsalad,7,#N/A
10,silverr,8,#N/A
10,hackingnoises,9,#N/A
10,bigbigmongey,10,#N/A
10,lowkey,11,#N/A
10,ulsah1n,12,#N/A
10,aquacorde,13,#N/A
10,jay,14,#N/A
10,nhb,15,#N/A
10,hdmicables,16,#N/A
